repair_part,billed_amount,vehicle_make,vehicle_model,repair_invoice_date
Tyre pressure monitoring sensor,249.90,Ford,Fiesta Zetec,2025-11-09
Tyre pressure monitoring sensor,260.10,Ford,Focus Titanium,2025-08-11
Tyre pressure monitoring sensor,280.50,VW,Polo Match,2025-02-12
Tyre pressure monitoring sensor,229.50,Vauxhall,Adam Glam,2026-05-08
Tyre pressure monitoring sensor,239.70,Vauxhall,Adam Jam,2026-02-07
Tyre pressure monitoring sensor,270.30,Vauxhall,Corsa SE,2025-05-13
Vanos / exhaust solenoid,187.18,Ford,Fiesta Zetec,2025-11-09
Vanos / exhaust solenoid,194.82,Ford,Focus Titanium,2025-08-11
Vanos / exhaust solenoid,210.10,VW,Polo Match,2025-02-12
Vanos / exhaust solenoid,171.90,Vauxhall,Adam Glam,2026-05-08
Vanos / exhaust solenoid,179.54,Vauxhall,Adam Jam,2026-02-07
Vanos / exhaust solenoid,202.46,Vauxhall,Corsa SE,2025-05-13
Water pump,90.70,Ford,Fiesta Zetec,2025-11-09
Water pump,94.40,Ford,Focus Titanium,2025-08-11
Water pump,101.81,VW,Polo Match,2025-02-12
Water pump,83.30,Vauxhall,Adam Glam,2026-05-08
Water pump,87.00,Vauxhall,Adam Jam,2026-02-07
Water pump,98.10,Vauxhall,Corsa SE,2025-05-13
Water pump pulley,36.73,Ford,Fiesta Zetec,2025-11-09
Water pump pulley,38.23,Ford,Focus Titanium,2025-08-11
Water pump pulley,41.23,VW,Polo Match,2025-02-12
Water pump pulley,33.73,Vauxhall,Adam Glam,2026-05-08
Water pump pulley,35.23,Vauxhall,Adam Jam,2026-02-07
Water pump pulley,39.73,Vauxhall,Corsa SE,2025-05-13
Wheel balance (per wheel),259.70,Ford,Fiesta Zetec,2025-11-09
Wheel balance (per wheel),270.30,Ford,Focus Titanium,2025-08-11
Wheel balance (per wheel),291.50,VW,Polo Match,2025-02-12
Wheel balance (per wheel),238.50,Vauxhall,Adam Glam,2026-05-08
Wheel balance (per wheel),249.10,Vauxhall,Adam Jam,2026-02-07
Wheel balance (per wheel),280.90,Vauxhall,Corsa SE,2025-05-13
Wiper blade,13.57,Ford,Fiesta Zetec,2025-11-09
Wiper blade,14.13,Ford,Focus Titanium,2025-08-11
Wiper blade,15.24,VW,Polo Match,2025-02-12
Wiper blade,12.47,Vauxhall,Adam Glam,2026-05-08
Wiper blade,13.02,Vauxhall,Adam Jam,2026-02-07
Wiper blade,14.68,Vauxhall,Corsa SE,2025-05-13
